image_path,question,answer, answer
b5/b5f377e7.jpg,What is the brand?,Solimo,
b5/b5f377e7.jpg,What type of case is it?,Hard,
b5/b5f377e7.jpg,What is the phone model?,Samsung,
b5/b5f377e7.jpg,What is the product type?,Case,
b5/b5f377e7.jpg,What is the color?,Multi,
ee/ee8ee952.jpg,What brand is it?,Solimo,
ee/ee8ee952.jpg,What type is it?,Case,
ee/ee8ee952.jpg,What is the design?,Texture,
ee/ee8ee952.jpg,What kind of print?,3D,
ee/ee8ee952.jpg,What is the color?,Others,
ee/ee8ee952.jpg,For what phone?,Samsung,
1c/1ce9f46c.jpg,What is the sofa's brand?,Movian,
1c/1ce9f46c.jpg,What is the sofa's color?,Grey,
1c/1ce9f46c.jpg,What is the product type?,Sofa,
1c/1ce9f46c.jpg,What is the sofa's pattern?,Solid,
1c/1ce9f46c.jpg,What is the material?,Polyester,
1c/1ce9f46c.jpg,What is the leg's color?,Black,
1c/1ce9f46c.jpg,What shape is it?,Rectangular,
fb/fb5a19f6.jpg,What is the sofa's pattern?,Solid,
fb/fb5a19f6.jpg,What is the sofa's material?,Polyester,
fb/fb5a19f6.jpg,What is the brand?,Movian,
fb/fb5a19f6.jpg,What color is the sofa?,Gray,
fb/fb5a19f6.jpg,What is the product type?,Sofa,
fb/fb5a19f6.jpg,What shape is it?,Rectangular,
fb/fb5a19f6.jpg,Are there buttons?,Yes,
b6/b6c2c92d.jpg,What brand is this?,Solimo,
b6/b6c2c92d.jpg,What is the phone case color?,Multicolor,
b6/b6c2c92d.jpg,What is the phone's model?,Xs,
b6/b6c2c92d.jpg,What is the product type?,Case,
b6/b6c2c92d.jpg,What shape is the hat?,Round,
b6/b6c2c92d.jpg,What is the case's pattern?,Travel,
b6/b6c2c92d.jpg,What are on the backpack?,Headphones,
4d/4d48b1d6.jpg,What brand is this?,Solimo,
4d/4d48b1d6.jpg,What is the case's color?,Multicolor,
4d/4d48b1d6.jpg,What is the phone model?,Xs,
4d/4d48b1d6.jpg,What is the case finish?,Glossy,
4d/4d48b1d6.jpg,What is this item?,Case,
4d/4d48b1d6.jpg,Is it for boys?,Yes,
4d/4d48b1d6.jpg,Is it designer?,Yes,
4d/4d48b1d6.jpg,Does it have print?,Yes,
4d/4d48b1d6.jpg,Is it transparent?,No,
3b/3b2210d6.jpg,What is the stone?,Sapphire,
3b/3b2210d6.jpg,What is the band color?,Silver,
3b/3b2210d6.jpg,What is the product type?,FINERING,
3b/3b2210d6.jpg,What is the main color?,Blue,
3b/3b2210d6.jpg,What is the material?,Silver,
e6/e63f2cfa.jpg,What is the case color?,Multicolor,
e6/e63f2cfa.jpg,What is the case material?,Silicon,
e6/e63f2cfa.jpg,What is the design style?,Quotes,
e6/e63f2cfa.jpg,What is the phone brand?,Solimo,
e6/e63f2cfa.jpg,What is the item shape?,Rectangular,
2f/2f357c87.jpg,What is the case's brand?,Solimo,
2f/2f357c87.jpg,What is the case's color?,Multicolor,
2f/2f357c87.jpg,What is the case's material?,Silicon,
2f/2f357c87.jpg,What is the phone case style?,Quotes,
2f/2f357c87.jpg,What is the design?,Butterfly,
61/6190dd98.jpg,What brand is this?,Wag,
61/6190dd98.jpg,What is the item color?,Multicoloured,
61/6190dd98.jpg,What animal is pictured?,Dog,
61/6190dd98.jpg,What count is advertised?,300,
61/6190dd98.jpg,What are these for?,Poop,
a3/a3d1ab24.jpg,What is the brand?,Wag,
a3/a3d1ab24.jpg,What is the bag's color?,Multicoloured,
a3/a3d1ab24.jpg,How many bags are included?,300,
a3/a3d1ab24.jpg,Where is it made?,Japan,
a3/a3d1ab24.jpg,What animal is featured?,Dog,
a3/a3d1ab24.jpg,What kind of bag is it?,Poop,
e3/e3a2ef84.jpg,What is the case's color?,Others,
e3/e3a2ef84.jpg,What is the brand?,Solimo,
e3/e3a2ef84.jpg,Is it hard case?,Yes,
e3/e3a2ef84.jpg,What is the print type?,3D,
e3/e3a2ef84.jpg,What is the product type?,Case,
e3/e3a2ef84.jpg,What is the material?,Hard,
ee/ee8ee952.jpg,What is the brand?,Solimo,
ee/ee8ee952.jpg,What type of case is it?,Hard,
ee/ee8ee952.jpg,What is the cover design?,Printed,
ee/ee8ee952.jpg,Is it a slim case?,Yes,
ee/ee8ee952.jpg,What is the color?,Multi,
96/96189b45.jpg,What is the brand?,Solimo,
96/96189b45.jpg,What kind of print?,3D,
96/96189b45.jpg,What is the case for?,Phone,
96/96189b45.jpg,What is the color?,Others,
96/96189b45.jpg,Is it hard?,Yes,
96/96189b45.jpg,What is the model?,M2,
ee/ee8ee952.jpg,What is the brand?,Solimo,
ee/ee8ee952.jpg,What kind of cover is it?,Back,
