image_path,question,answer
2f/2f357c87.jpg,What is the model's name?,Water
d7/d782649f.jpg,Does the case have glitter?,Yes
9a/9aeeb618.jpg,What shape is it?,Square
90/90039ff1.jpg,What is the brand?,UMI
75/75c32668.jpg,What is the print's primary color?,Turquoise
30/30cf8fe0.jpg,What is the product?,Keyboard
2f/2f357c87.jpg,What is the case's material?,Silicon
11/11ba0b79.jpg,What style is this?,Chelsea
d5/d5b5090d.jpg,What is the brand?,AmazonBasics
78/78a85ef7.jpg,What brand is this?,Solimo
b5/b53f6f74.jpg,What is the case's color?,GEN1157
6d/6dfd0542.jpg,How many straps are there?,Three
e0/e010d9dc.jpg,Is this luggage hard?,Yes
ee/ee8ee952.jpg,What is the cover's print?,3D
cd/cddb87f9.jpg,What is the design?,Flower
d2/d2b7ae02.jpg,Is it soft?,Yes
4f/4f27a8db.jpg,What is the case's color?,Multicolor
2f/2fa328e5.jpg,What is the shoe style?,Pump
ee/ee8ee952.jpg,Is it printed?,Yes
f7/f77069ef.jpg,What is the model number?,70813
5c/5cf07bec.jpg,What is the phone's model?,A6600
2f/2f357c87.jpg,Is the cover flexible?,Yes
c1/c14e2cca.jpg,What is the brand?,Symbol
36/36cae1bf.jpg,What is the main material?,Plastic
0a/0a7506eb.jpg,What type of sauce is this?,Hot
69/6940fc5c.jpg,What is the brand name?,Symbol
f2/f2e4593f.jpg,What is the sole material?,Rubber
19/19d6c5df.jpg,What is the heel type?,Flat
f0/f0f9d36a.jpg,What type of boot is this?,BOOT
01/01f89557.jpg,What brand is this?,Solimo
49/49b1b22b.jpg,What color is it?,Others
a1/a18be798.jpg,What is the pattern?,Textured
2a/2a7130d5.jpg,What is the color?,Red
13/13a180a0.jpg,What is the closure type?,Slip
b4/b4f5d8c0.jpg,What is the brand?,find
1d/1d5a9510.jpg,What is the product type?,Case
c8/c816329a.jpg,What is the material?,Silicon
66/66f3a68c.jpg,What is the brand?,Solimo
41/414b6b95.jpg,What is the case color?,Clear
2f/2f357c87.jpg,What is the pattern?,Sky
4d/4da23ec8.jpg,What is the brand?,Solimo
95/95dd01e9.jpg,What color is it?,Black
4d/4d5e8e86.jpg,Is it a hard case?,Yes
6d/6d5e4bcb.jpg,What is the color of the furniture?,Sonoma
47/47be8206.jpg,What is the case's color?,Multi
ee/ee8ee952.jpg,Does it have leaves?,Yes
d0/d0c98251.jpg,What is it made of?,Steel
72/72c5fe10.jpg,Is it a printed cover?,Yes
66/66f3a68c.jpg,What is the item weight?,50
5a/5a3bcb22.jpg,What is the print type?,3D
ee/ee8ee952.jpg,What is the brand?,Solimo
5c/5c80d337.jpg,What is the cracker's flavor?,Honey
49/49b1b22b.jpg,What is the case's color?,Others
55/55632806.jpg,Is it vegan?,Yes
af/afbaebd8.jpg,Is the frame hangable?,Yes
09/09e1e4e9.jpg,What is the case type?,Hard
1e/1e1f6a0e.jpg,What is the material?,Silicone
66/66f3a68c.jpg,What is the brand?,Solimo
cb/cb2c3c22.jpg,What style are these?,Slip-on
a1/a18c1f6c.jpg,What brand is this?,Wag
28/2825e5e7.jpg,What is the color?,Others
33/33dec10f.jpg,What is the item shape?,A19
97/97e22474.jpg,What is the brand?,Solimo
2b/2bc2a99f.jpg,What is the product type?,Shoes
78/7864f4f8.jpg,Is it for indoor usage?,Yes
e2/e2bc815b.jpg,What is the brand?,Solimo
e6/e6960832.jpg,What is the shoe model?,Loire
2f/2f357c87.jpg,What is the case material?,Silicone
85/85192c70.jpg,What is the pattern?,Butterfly
a7/a7612f85.jpg,What is the product type?,Shoes
65/65c3c4fe.jpg,What is the brand?,AJC
44/440e994a.jpg,What kind of fruit is shown?,Pineapple
66/66a1eed9.jpg,What is the brand?,find
ff/fff6e06e.jpg,What is the product type?,Shoes
5a/5a45266b.jpg,What is the brand?,Rivet
