image_path,question,answer
9c/9c9755dd.jpg,What is the color?,Natural
3b/3b4da1cd.jpg,What are the colors?,Grey
2a/2af5eb88.jpg,What is the brand?,Solimo
be/be497c40.jpg,What is the model name?,Oppo
63/63325df8.jpg,Is it 3D printed?,Yes
24/24b9da74.jpg,What is the product type?,Flour
2f/2f357c87.jpg,What are the objects?,Butterflies
85/85192c70.jpg,What is the item's brand?,Solimo
1c/1c454252.jpg,What is the strength?,Original
66/66f3a68c.jpg,What is the product type?,Case
8e/8eb903f6.jpg,What are the candle scents?,Multi
49/49b1b22b.jpg,What shape is it?,Hard
ba/baa51770.jpg,What is the product brand?,Solimo
0f/0fceb617.jpg,What is the upper material?,Suede
68/68ec226c.jpg,Are these disposable?,Yes
b0/b02adc61.jpg,What is the color?,Black
49/49b1b22b.jpg,What is the cover's pattern?,Paint
2a/2af5eb88.jpg,What type of product is this?,Case
11/11d925fc.jpg,What is the product type?,Case
6a/6ae96245.jpg,Are there hearts?,Yes
16/164ce0cd.jpg,What is the product?,Water
ca/cafa39ea.jpg,What is the bottle's shape?,Circular
2c/2cd8136e.jpg,What is the ring size?,2-Inch
96/9626a6aa.jpg,What is the handle style?,Euro
b1/b1ff6182.jpg,What is the primary case material?,Plastic
0b/0bf437fb.jpg,What is the material?,Shearling
96/9678f8cf.jpg,What shape is prominent?,Heart
7d/7db4476f.jpg,What material is it?,Nylon
35/35d21c6e.jpg,What color is the shoe?,Ivory
0e/0ed3633f.jpg,Is this ready for oven?,Yes
47/47f0c738.jpg,What is the product's color?,Multi-colored
53/5343ffa9.jpg,What is the product type?,Chair
69/69c7bd3b.jpg,Does the chair have rolled arms?,Yes
ee/ee8ee952.jpg,What is the brand?,Solimo
c9/c9d1c3ee.jpg,What is the bandage style?,Self-Adhering
2f/2f357c87.jpg,What is the product type?,Case
ee/ee8ee952.jpg,What kind of print does it have?,3D
87/874f86c4.jpg,What type is it?,Furniture
47/47f0c738.jpg,What is the color?,Multi-colored
17/17c42818.jpg,What is the type of coffee?,Coffee
c3/c310ac15.jpg,What is the pattern?,Panda
72/728b965e.jpg,What type of shoes are these?,Shoes
66/66f3a68c.jpg,What is the case style?,Hard
85/85192c70.jpg,What is the phone model?,Coolpad
93/938b36c4.jpg,What is the case's color?,Yellow
2e/2edfcd91.jpg,What brand is it?,Solimo
7c/7cbc88bd.jpg,What type of product is this?,Chair
01/019a991a.jpg,What is the design?,Butterfly
ee/ee8ee952.jpg,What is the color?,Others
fd/fdaa7532.jpg,What is the box material?,Fabric
2f/2fe300a9.jpg,What is the brand?,Find
54/544e6927.jpg,What type of product is this?,Shoes
21/2198c043.jpg,What is the shoe's color?,Taupe
44/44cca1ae.jpg,What is the product's brand?,Solimo
